"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group","DBH_cm","CCS_r_m"
140039,11,7,FALSE,282,151,110,1,"gfi",2,1,-9,-9,400,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40,17.84
140039,12,7,FALSE,941,154,110,1,"gfi",2,1,-9,-9,417,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",41.7,17.84
140039,13,7,FALSE,1542,168,110,1,"gfi",2,1,269,204,310,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",31,17.84
140039,14,7,FALSE,1031,171,110,1,"gfi",2,1,-9,-9,396,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",39.6,17.84
140039,15,7,FALSE,368,216,110,1,"gfi",2,1,274,167,370,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",37,17.84
140039,16,7,FALSE,932,240,110,1,"gfi",2,1,-9,-9,403,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40.3,17.84
140039,17,7,FALSE,1372,231,110,1,"gfi",2,1,275,172,463,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",46.3,17.84
140039,18,7,FALSE,1714,299,110,1,"gfi",2,1,-9,-9,401,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40.1,17.84
140039,19,7,FALSE,1168,297,110,1,"gfi",2,1,-9,-9,318,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",31.8,17.84
140039,20,7,FALSE,944,291,110,1,"gfi",2,1,-9,-9,303,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",30.3,17.84
140039,21,7,FALSE,815,319,110,1,"gfi",2,1,-9,-9,291,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",29.1,12.62
140039,22,7,FALSE,1444,324,110,1,"gfi",2,1,-9,-9,355,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",35.5,17.84
140039,23,7,FALSE,1226,339,110,1,"gfi",2,1,-9,-9,335,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",33.5,17.84
140039,24,7,FALSE,1336,374,110,1,"gfi",2,1,-9,-9,418,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",41.8,17.84
140039,25,7,FALSE,921,365,110,1,"gfi",3,1,-9,-9,234,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",23.4,12.62
140039,26,7,FALSE,823,379,110,1,"gfi",3,1,-9,-9,208,140,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",20.837037037037,12.62
140039,27,7,FALSE,1106,399,110,1,"gfi",3,1,-9,-9,205,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",20.5,12.62
140039,28,7,FALSE,1471,5,110,1,"gfi",2,1,-9,-9,384,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",38.4,17.84
140039,29,7,FALSE,1772,390,110,1,"gfi",2,1,-9,-9,468,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",46.8,17.84
140039,30,7,FALSE,1772,148,110,1,"gfi",2,1,-9,-9,479,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",47.9,17.84
140039,31,0,NA,321,187,110,1,"gfi",2,1,280,128,402,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",40.2,17.84
140039,32,0,NA,1249,223,110,1,"gfi",1,1,305,175,530,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",53,17.84
140039,33,0,NA,789,230,110,1,"gfi",2,1,328,185,443,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",44.3,17.84
140039,34,0,NA,1430,275,110,1,"gfi",3,1,225,130,322,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",32.2,17.84
140039,35,0,NA,1380,289,110,1,"gfi",2,1,262,142,329,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",32.9,17.84
140039,36,0,NA,787,289,110,1,"gfi",2,1,256,138,345,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",34.5,17.84
140039,37,0,NA,1570,298,110,1,"gfi",2,1,280,140,427,150,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",42.7740740740741,17.84
140039,38,0,NA,1010,297,110,1,"gfi",2,1,250,148,347,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",34.7,17.84
140039,39,0,NA,670,325,110,1,"gfi",2,1,250,140,322,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",32.2,17.84
140039,40,0,NA,1320,327,110,1,"gfi",2,1,280,130,388,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",38.8,17.84
140039,41,0,NA,1770,314,110,1,"gfi",2,1,NA,NA,338,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",33.8,17.84
140039,42,0,NA,1100,344,110,1,"gfi",2,1,256,132,365,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",36.5,17.84
140039,43,0,NA,1780,391,110,1,"gfi",1,1,299,164,501,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",50.1,17.84
140039,44,0,NA,271,39,15,5,"gfi",0,2,72,11,76,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",7.6,5.64
140039,45,0,NA,410,125,110,1,"gfi",2,1,283,195,443,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",44.3,17.84
140039,46,0,NA,1460,126,110,1,"gfi",2,1,NA,NA,344,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",34.4,17.84
140039,47,0,NA,1030,141,110,1,"gfi",2,1,272,146,440,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",44,17.84
140039,48,0,NA,1070,158,110,1,"gfi",2,1,NA,NA,439,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",43.9,17.84
140039,49,0,NA,1590,159,110,1,"gfi",2,1,NA,NA,347,140,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",34.737037037037,17.84
140040,1,1,NA,342,93,126,1,"gfi",2,1,305,156,575,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",57.5,17.84
140040,3,1,NA,1660,101,126,1,"gfi",2,1,NA,NA,553,130,2092,"BZE5",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",55.3,17.84
