"plot_ID","e_ID","inv_year","CCS_r_m","inter_stat","area_m2","stand"
140039,1,2011,12.62,"no intersections",0,"no forest"
140039,2,2011,12.62,"partly intersecting",281.541177072088,"B"
140039,0,2011,12.62,"0",218.574103095434,"A"
140039,1,2011,5.64,"no intersections",0,"no forest"
140039,2,2011,5.64,"partly intersecting",71.5351489728496,"B"
140039,0,2011,5.64,"0",28.3520010494832,"A"
140053,1,2011,17.84,"no intersections",0,"no forest"
140053,2,2011,17.84,"partly intersecting",132.613895479294,"B"
140053,0,2011,17.84,"0",866.790175434762,"A"
140053,1,2011,12.62,"no intersections",0,"no forest"
140053,2,2011,12.62,"partly intersecting",12.9665130542492,"B"
140053,0,2011,12.62,"0",487.148767113273,"A"
140053,1,2011,5.64,"no intersections",0,"no forest"
140053,2,2011,5.64,"no intersections",0,"B"
140053,0,2011,5.64,"0",99.8871500223328,"A"
140068,1,2012,17.84,"no intersections",0,"no forest"
140068,2,2012,17.84,"partly intersecting",682.977223444476,"A"
140068,0,2012,17.84,"0",316.42684746958,"B"
140068,1,2012,12.62,"no intersections",0,"no forest"
140068,2,2012,12.62,"partly intersecting",384.573866561351,"A"
140068,0,2012,12.62,"0",115.541413606171,"B"
140068,1,2012,5.64,"no intersections",0,"no forest"
140068,2,2012,5.64,"partly intersecting",99.6843519767333,"A"
140068,0,2012,5.64,"0",0.20279804559953,"B"
