"alle Zielmerkmale nach Baumartengruppe Filter:Jahr=2017 ; ; Basis:Deutschland, bestockter Holzboden, begehbar, ohne Lücken im Hauptbestand bzw. Plenterwald, Bäume ab 20 cm Höhe (jung und alt) im Hauptbestand oder Plenterwald, bestandesintern, Baumvolumen: BDat3.0 (Spline-Funktion, 2013), Raster: 64km²: SH, NI, HE, RP, BW, BY, SL, BE, BB, MV, SN, TH / 16km²: NW / 4 km²: ST (Inventurnetz für CI 2017 (Zustandsrechnungen, terrestrisch)); ideelle Fläche (gemäß Standflächenanteil) (77Z1JI_L668of_2017_bi/2019-2-14 8:9:56.480)";;;;;;;;;;;;;
Zielmerkmale;Einheit;Eiche;Buche;andere Lb hoher Lebensdauer;andere Lb niedriger Lebensdauer;alle Laubbäume;Fichte;Tanne;Douglasie;Kiefer;Lärche;alle Nadelbäume;alle Baumarten
Vorrat (FAO-Definition) [m³];[1000 m³];355103,1322;604536,8547;195633,7508;229879,9155;1385153,653;1149215,166;94232,43064;91697,35548;792797,4808;102730,843;2230673,275;3615826,928
Waldfläche (gemäß Standflächenanteil) [ha];[ha];1116557,301;1721158,972;791196,0721;1139256,556;4768168,895;2700828,208;197302,9326;259354,092;2442300,021;300436,4088;5900221,66;10668390,54
Zugehörige Holzbodenfläche des Auswertungsgebietes [ha];[ha];10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89
absorbiertes Kohlendioxid [kg/ha];SE95 ±;16601,88108;15986,19758;19926,6703;10781,00059;10164,38746;12042,07504;42253,33887;32466,70867;8653,057282;20937,22804;7736,315074;6681,594408
absorbiertes Kohlendioxid [kg];SE95 ±;39984904223;64012139286;27396898544;20348436151;95443505649;73855901739;18182009351;18059508171;60035807622;15664788047;1,0797E+11;1,50257E+11
Anteil an der Holzbodenfläche [%];SE95 ±;0,006838145;0,009796818;0,005737208;0,007079327;0,014122189;0,011840546;0,003142332;0,003866365;0,013065081;0,003399917;0,014170185;0,002623827
Biomasse [kg/ha];SE95 ±;9061,692165;8725,637796;10876,43925;5884,520433;5547,958665;6572,844128;23062,85319;17721,08341;4723,039505;11428,02497;4222,660367;3646,969355
Biomasse [kg];SE95 ±;21824689039;34939311727;14953863291;11106648859;52095281196;40312265809;9924162794;9857298836;32768937519;8550204906;58932422154;82013643242
flächengewogenes Alter [a];SE95 ±;3,304619287;2,817227362;2,745742587;1,855532272;1,911481102;1,87477092;6,96588292;2,702498296;1,991240465;3,269093771;1,367999607;1,245791911
Grundfläche [m²/ha];SE95 ±;0,868163781;0,771280541;1,136682019;1,03386243;0,523143709;0,888259111;2,75261836;2,410392877;0,706989174;1,55331366;0,569289426;0,435095489
Grundfläche [m²];SE95 ±;2262143,87;3275549,023;1693223,339;2121628,096;5540257,442;6145312,235;1357522,484;1508608,217;5489177,38;1216733,297;9177745,183;11136453,5
Kohlenstoffmasse [kg/ha];SE95 ±;4530,846082;4362,818898;5438,219624;2942,260216;2773,979333;3286,422064;11531,4266;8860,541704;2361,519753;5714,012486;2111,330183;1823,484678
Kohlenstoffmasse [kg];SE95 ±;10912344520;17469655863;7476931645;5553324429;26047640598;20156132905;4962081397;4928649418;16384468759;4275102453;29466211077;41006821621
oberirdische Biomasse [kg/ha];SE95 ±;7340,961529;8150,680335;10090,42336;4753,64213;5039,836854;5696,936641;19727,60756;15191,6952;3941,409219;9609,393994;3653,222088;3239,372606
oberirdische Biomasse [kg];SE95 ±;17627319263;32421052010;13769031528;8866089584;46330595722;35098365022;8526913196;8508163157;27260250755;7124841181;50396902869;71358861912
oberirdische Kohlenstoffmasse [kg/ha];SE95 ±;3670,480764;4075,340167;5045,211679;2376,821065;2519,918427;2848,468321;9863,803781;7595,847602;1970,70461;4804,696997;1826,611044;1619,686303
oberirdische Kohlenstoffmasse [kg];SE95 ±;8813659632;16210526005;6884515764;4433044792;23165297861;17549182511;4263456598;4254081578;13630125377;3562420590;25198451435;35679430956
Stammzahl;SE95 ±;110444200,6;594638858,1;543671228,4;393518863,4;1027520018;912453481,4;106224737,6;45379162,67;487295439,6;60823626,4;1078942691;1649771113
Stammzahl [1/ha];SE95 ±;92,83415517;329,0396647;648,2245353;313,6247049;203,8455304;321,6886417;494,57467;138,9089929;185,0400116;188,1875925;173,646679;147,1431399
unterirdische Biomasse [kg/ha];SE95 ±;1747,931227;598,4717948;816,8161412;1152,210987;743,3731125;908,608473;3414,027779;2581,450063;803,806422;1913,934185;612,0172262;503,1324872
unterirdische Biomasse [kg];SE95 ±;4211173043;2535946161;1200235877;2256358549;6338636620;5255135090;1404789162;1356066847;5527360282;1436679705;8642605791;11142247791
unterirdische Kohlenstoffmasse [kg/ha];SE95 ±;873,9656133;299,2358974;408,4080706;576,1054935;371,6865563;454,3042365;1707,013889;1290,725032;401,903211;956,9670925;306,0086131;251,5662436
unterirdische Kohlenstoffmasse [kg];SE95 ±;2105586522;1267973080;600117938,6;1128179274;3169318310;2627567545;702394581,1;678033423,7;2763680141;718339852,4;4321302896;5571123895
Vorrat [m³/ha];SE95 ±;12,28365093;12,36354658;14,74494031;12,88345599;7,817843821;13,21908189;47,93199943;34,25636947;8,97878779;21,66232194;8,451503735;6,316050928
Vorrat [m³];SE95 ±;28380351,54;46547213,67;19060070,14;22507764,92;71469578,1;76319925,53;19464810,42;18250281,75;58463463,42;15402136,48;109486062,8;135802890,6
Vorrat (FAO-Definition) [m³/ha];SE95 ±;11,84373735;11,82590962;14,16608058;12,30079816;7,489472934;12,62917022;45,99867087;32,73423618;8,599672054;20,86265914;8,07760786;6,030599833
Vorrat (FAO-Definition) [m³];SE95 ±;27618107,86;45476339,63;18698552,41;21991020,64;69785169,52;73694522,63;18827006,07;17614896,84;56842000,56;14869637,84;105926781,1;131728257,9
Waldfläche (gemäß Standflächenanteil) [ha];SE95 ±;79376,88052;120747,7314;64659,42367;82011,44099;204232,5212;156338,6661;34765,73376;42809,07587;165744,6083;38209,77335;254044,6344;340705,2275
Zugehörige Holzbodenfläche des Auswertungsgebietes [ha];SE95 ±;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947
