bund_nr,team,datum,gruendigkeit,gruendigkeit_z,aktuellgrundwstand,scheinbgrundwstand,bodentyp,podsoligkeit,anmerkung,team_mbp,datum_mbp,team_mbc,datum_mbc,anmerkung_mbp,anmerkung_mbc
140038,Heinkele;Martin,2006-09-06,90,True,-9,,pp-bb,p2,Beschreibung gilt für linkes Drittel des Profils; rechter Teil der Profilwand gestört (zwei ineinander verwürgte Podsole); Zu 4. Horizont Ausgangsgestein: siehe Altaufnahme,Heinkele;Martin,2006-09-06,Heinkele;Martin,2006-09-06,,
140039,Heinkele;Martin,2006-09-05,90,,-9,,bb-pp,-9,"zu Horizont 1-6, Ausgangsgestein: Muscovit-Gneis (s. Alt-Aufnahme)",Heinkele;Martin,2006-09-05,Heinkele;Martin,2006-09-05,,
140040,Heinkele;Martin,2006-08-22,80,,-9,,pp-bb,p3,Ausgangsgestein: Komponente 1 Löss: Bitte Rücksprache; Stratigraphie: nach GK,-9,1970-01-01,Heinkele;Martin,2006-08-22,,
140041,Heinkele;Martin,2006-08-22,90,,-9,,bb,p3,Bitte Rücksprache wegen Substrat; Stratigraphie nach GK,-9,1970-01-01,Heinkele;Martin,2006-08-22,,
140042,Heinkele;Martin,2006-07-27,60,,-9,,ss-bb,-9,Bitte  Rücksprache wegen Substrat und Stratigraphie,-9,1970-01-01,Heinkele;Martin,2006-07-27,,
140043,Heinkele;Martin,2006-08-23,160,,-9,,ss-bb,-9,,-9,1970-01-01,Heinkele;Martin,2006-08-23,,
140044,Heinkele;Martin,2006-07-25,80,,-9,,bb,-9,Bitte Rücksprache wegen Bodentyp,-9,1970-01-01,Heinkele;Martin,2006-07-25,,
140045,Heinkele;Martin,2006-07-25,60,,-9,,pp-bb,p2,,-9,1970-01-01,Heinkele;Martin,2006-07-25,,
140046,Heinkele;Martin,2006-08-23,85,,-9,,pp-bb,p3,,-9,1970-01-01,Heinkele;Martin,2006-08-23,,
140047,Heinkele;Martin,2006-07-26,80,,-9,,ss-pp,-9,,-9,1970-01-01,Heinkele;Martin,2006-07-26,,
140048,Heinkele;Martin,2006-08-21,95,,-9,,pp,-9,"Am Profil ca. 30 cm mächtige, junge Überdeckung mit darin entwickeltem Podsol, im liegenden Solifluktionsmaterial ebenfalls Podsol entwickelt; diese Abfolge wurde an den Bohrpunkten nicht angetroffen.",-9,1970-01-01,Heinkele;Martin,2006-08-21,,
140049,Heinkele;Martin,2006-07-31,85,,-9,,bb,p2,,-9,1970-01-01,Heinkele;Martin,2006-07-31,,
140050,Heinkele;Martin,2006-08-03,80,,-9,,bb,p2,,-9,1970-01-01,Heinkele;Martin,2006-08-02,,
140051,Heinkele;Martin,2006-08-01,100,,-9,,bb,-9,,-9,1970-01-01,Heinkele;Martin,2006-08-01,,
140052,Heinkele;Martin,2006-08-01,77,,-9,,ss-bb,-9,,-9,1970-01-01,Heinkele;Martin,2006-08-01,,
140053,Heinkele;Martin,2006-08-01,80,,-9,,ll-bb,-9,,-9,1970-01-01,Heinkele;Martin,2006-08-01,,
140054,Heinkele;Martin,2006-09-28,90,True,-9,,ss,p2,,-9,1970-01-01,Heinkele;Martin,2006-09-28,,
140055,Heinkele;Martin,2006-09-05,90,True,-9,,bb-ss,-9,"zu Horizont 5., Ausgangsgestein: Muscovit-Gneis, s. Altaufnahme",Heinkele;Martin,2006-09-05,Heinkele;Martin,2006-09-05,,
140056,Heinkele;Martin,2006-09-04,90,True,-9,,bb-ss,-9,1) oh-Material bis in 17 cm Tiefe eingemischt; 2) Satellit 7 und 8 an der Bestandesgrenze; 3) Horizont 70- 90 cm  Rotliegendes-Zusatz,Heinkele;Martin,2006-09-04,Heinkele;Martin,2006-09-04,,
140057,Heinkele;Martin,2006-09-07,90,,-9,,bb,-9,,Heinkele;Martin,2006-09-07,Heinkele;Martin,2006-09-07,,
140058,Heinkele;Martin,2006-09-04,90,,-9,,bb-ss,p2,Grenze zwischen Horizont 3 und 4 schwankend zwischen 70 und 80 cm; Horizont 1-3: Gestein Muskovit-Gneis mit einigen Quarz- Grus und -Steinen,Heinkele;Martin,2006-09-04,Heinkele;Martin,2006-09-04,,
140059,Heinkele;Martin,2006-09-27,90,True,-9,,bb,p2,,-9,1970-01-01,Heinkele;Martin,2006-09-27,,
140060,Heinkele;Martin,2006-09-27,75,True,-9,,ss,-9,"Vermerk zu 140060: Das Profil war nur bis 75 cm aufgegraben. WRB-Klassifikation: haplic Stagnosol, endosiltic",Heinkele;Martin,2006-09-27,Heinkele;Martin,2006-09-27,,
140061,Heinkele;Martin,2006-09-25,40,,-9,,bb,-9,,-9,1970-01-01,Heinkele;Martin,2006-09-25,,
140062,Heinkele;Martin,2006-09-23,90,True,-9,,bb,p2,Farbansprachen für trockenen Boden,Heinkele;Martin,2006-09-23,Heinkele;Martin,2006-09-23,,"an den Satelliten 2,3,5,6 lagenweise Oh-Material in den oberen Mineralboden (0-10 cm) eingemischt"
140063,Heinkele;Martin,2006-09-22,90,True,-9,,bb,p2,Farbansprchen trocken,-9,1970-01-01,Heinkele;Martin,2006-09-22,,
140064,Heinkele;Martin,2006-09-22,110,True,-9,,bb,-9,"Farbansprache trocken; 60-110 cm: deutlich geschichtet S//ffS//fS.  Kiesige Bodenfraktion 0-25 cm: > 2mm 288g, <2 mm 1453g, Gew. % >2 mm: 16% ; kiesige Bodenfraktion  25-60cm:  > 2 mm 697 g, < 2 mm  1860 g, Gew.%: 27%",-9,1970-01-01,Heinkele;Martin,2006-09-22,,
140065,Heinkele;Martin,2006-09-23,90,True,-9,,pp-bb,p3,"Farbansprachen für trockenen Boden; Wägung Skelettgehalt: 0-10 cm: <2mm 1410; >2 mm 245 , Summe 1655, Gew.% > 2mm 15; 10-20 cm: <2mm 1300; >2 mm 820 , Summe 2120, Gew.% > 2mm 39; 20-64 cm: <2mm 1670; >2 mm 730 , Summe 2400, Gew.% > 2mm 30.",-9,1970-01-01,Heinkele;Martin,2006-09-23,,
140066,Heinkele;Martin,2006-09-25,90,True,-9,,ss,p2,"an den Satelliten 1,2, und 8 hohe Skelettgehalte von 0-90 cm (ca. 35%)",-9,1970-01-01,Heinkele;Martin,2006-09-25,,
140067,Heinkele;Martin,2006-09-24,85,True,-9,,ss,-9,Vermerk zu 140067: Profil war nur bis 70 cm geöffnet und wurde von usn bis 90 cm vertieft,-9,1970-01-01,Heinkele;Martin,2006-09-24,,
140068,Heinkele;Martin,2006-09-26,100,,-9,,ss-bb,-9,Farbansprachen trocken,Heinkele;Martin,2006-09-26,Heinkele;Martin,2006-09-26,,
140089,Heinkele;Martin,2006-10-23,145,True,-9,,bb-gg,-9,"35 - 145 cm: Farben 10YR8/1 und 7,5 YR5/8",Heinkele;Martin,2006-10-23,Heinkele;Martin,2006-10-23,,
140102,Heinkele;Martin,2006-10-24,100,True,100,80,gg,p3,"15 - 65 cm: Farben marmoriert: 10YR7/2 und 7,5 YR4/6",-9,1970-01-01,Heinkele;Martin,2006-10-24,,
140175,Heinkele;Martin,2006-09-14,80,True,-9,,bb,-9,,Heinkele;Martin,2006-09-14,Heinkele;Martin,2006-09-14,,
140187,Heinkele;Martin,2006-09-06,90,True,-9,,bb,-9,"Ausgangsgestein: 430: Muscovit-Plattengneis, siehe Aufnahme BZE I",Heinkele;Martin,2006-09-06,Heinkele;Martin,2006-09-06,Bodenphysik für EU-BioSoil,
140234,Heinkele;Martin,2006-08-02,70,,-9,,bb,-9,,Heinkele;Martin,2006-08-02,Heinkele;Martin,2006-08-02,,
140252,Heinkele;Martin,2006-07-31,125,True,-9,,bb,p2,6 -72 cm: Flecken 10YR7/4,Heinkele;Martin,2006-07-31,Heinkele;Martin,2006-07-31,,
140254,Heinkele;Martin,2006-09-26,90,True,-9,,bb,-9,Farbansprachen trocken; 45 - 90: Lagen mSgs mit 10YR7/3 und Lagen Sl3 mit 10YR5/6,Heinkele;Martin,2006-09-26,Heinkele;Martin,2006-09-26,,
140315,Heinkele;Martin,2006-08-21,80,True,-9,,bb,-9,,-9,1970-01-01,Heinkele;Martin,2006-08-21,,
140316,Heinkele;Martin,2006-09-28,95,True,-9,,ll-bb,-9,,-9,1970-01-01,Heinkele;Martin,2006-09-28,,
140317,-9,1970-01-01,-9,,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
