ID;MoMoK_Nr;included;Name;Standort;BL;Moortyp;Hydrologie;Torfmaechtigkeit;Sek_Bodenbildung;Bestand;Auswahl;Baumdichte
20;29090;Y;Klosterfilz/Skt. Oswald;BY-KF;BY;Hochmoor;norm;>100;keine;Kiefer;Std;relativ geschlossen
21;29550;N;;;BY;Übergangsmoor;norm;k.A.;;Fichte;Std;
22;29600;N;;;BY;Übergangsmoor;entwässert;k.A.;;Kiefer;Std;
23;29650;N;;;BY;Hochmoor;entwässert;k.A.;;Kiefer;Std;
24;26010;Y;Brander Bruch/Münden;HE-BB;HE;Moorgley;entwässert;<30;mittel;Birke;Std;relativ geschlossen
25;26020;Y;Ellerhorst/Münden;HE-EH;HE;Niedermoor;norm;30-100;keine;Erle;Std;relativ geschlossen
26;26030;Y;Krämersgrund/Wetter;HE-KG;HE;Niedermoor;entwässert;30-100;mittel;Erle;Std;relativ geschlossen
27;33010;Y;Pälitzsee/Pelzkuhl;MV-PS;MV;Niedermoor;entwässert;>100;mittel;Erle;Ref;relativ geschlossen
28;33030;N;;;MV;Niedermoor;entwässert;>100;stark;Birke;Std;relativ geschlossen
29;33040;Y;Drewensee/Priepert;MV-DS;MV;Niedermoor;entwässert;>100;mittel;Erle;Ref;relativ geschlossen
30;33050;Y;Rätzsee/Fleeth;MV-RS;MV;Niedermoor;norm;>100;keine;Erle;Ref;geschlossen
31;33300;Y;Buchenhorst;MV-BH;MV;Niedermoor;entwässert;>100;mittel;Erle;Int;relativ geschlossen
32;33400;N;;;MV;Niedermoor;norm;>100;keine ;Erle;Ref;relativ geschlossen
33;23060;Y;Wildenkiel 1;NI-WK1;NI;Niedermoor;entwässert;30-100;stark;Fichte;Std;relativ geschlossen
34;23061;Y;Wildenkiel 2;NI-WK2;NI;Moorgley;entwässert;<30;stark;Birke;Std;relativ geschlossen
35;23070;N;;;NI;Moorgley;entwässert;<30;stark;Birke;Std;geschlossen
36;23081;N;;;NI;Niedermoor;entwässert;30-100;stark;Kiefer;Std;relativ geschlossen
37;23090;Y;Großes Moor bei Malloh;NI-GM;NI;Hochmoor;entwässert;30-100;stark;Kiefer;Std;relativ geschlossen
38;23110;Y;Brambosteler Moor;NI-BM;NI;Niedermoor;entwässert;30-100;mittel;Kiefer;Std;relativ geschlossen
39;23150;Y;Wildenloh;NI-WL;NI;Hochmoor;entwässert;>100;leicht;Kiefer;Std;relativ geschlossen
40;23170;Y;Holzurburg;NI-HU;NI;Hochmoor;entwässert;>100;leicht ;Kiefer;Std;relativ geschlossen
41;25040;N;;;NW;Moorgley;entwässert;<30;stark;Birke;Std;
42;25051;N;;;NW;Hochmoor;entwässert;>100;stark;Birke;Std;geschlossen
43;25080;N;Warstein 1;NW-WS1;NW;Hochmoor;norm;>100;wenig;Birke;Std;vereinzelt
44;25081;N;;;NW;Hochmoor;entwässert;>100;wenig;Fichte;Std;geschlossen
45;25091;N;;;NW;Moorgley;entwässert;<30;stark;Fichte;Std;geschlossen
46;25100;Y;Ebbemoor;NW-EM;NW;Moorgley;norm;<20;keine;Birke;Std;vereinzelt
47;27011;Y;Landstuhler Bruch;RP-LB;RP;Niedermoor;entwässert;30-100;mittel;Fichte;Std;geschlossen
48;27040;Y;Palmbruch/Morbach;RP-PB;RP;Übergangsmoor;norm;30-100;keine;Birke;Std;geschlossen
49;21020;Y;Krummsee;SH-KS;SH;Niedermoor;norm;>100;keine;Erle;Std;geschlossen
50;21030;Y;Schwonau;SH-SW;SH;Niedermoor;entwässert;>100;stark;Erle;Std;relativ geschlossen
51;35500;Y;Jävenitzer Moor/Gardelegen;ST-JM;ST;Niedermoor;norm;> 100;mittel;Birke;Std;vereinzelt
52;36010;Y;Siegmundsburg;TH-SB;TH;Niedermoor;entwässert ;30-100;mittel;Fichte;Std;geschlossen
53;36020;N;;;TH;Niedermoor;entwässert;30-100;keine;Kiefer;Std;vereinzelt
54;36030;N;;;TH;Niedermoor;norm;30-100;keine;Fichte;Std;relativ geschlossen
55;36041;Y;Sommerbachskopf 2;TH-SK;TH;Niedermoor;norm;>100;keine;Fichte;Std;vereinzelt
56;34010;Y;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN-EM;SN;Hochmoor;norm;>100;mittel;Fichte;Int;relativ geschlossen
57;34020;Y;Friedrichsheider Hochmoor/Erlabrunn;SN-FH;SN;Hochmoor;norm;>100;wenig;Kiefer;Ref;relativ geschlossen
58;340X0;N;;;SN;Hochmoor;norm;x;x;Kiefer;Ref;
59;34030;Y;Steinbach/Steinbach;SN-MB;SN;Hochmoor;entwässert;30-100;stark;Fichte;Ref;relativ geschlossen
60;34040;Y;Milchbach/Erlabrunn;SN-KS;SN;Hochmoor;entwässert;30-100;stark;Fichte;Ref;relativ geschlossen
